chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
GSM1347854	0.0	A_37_P049362	6385	no	BM MSC hypoxia 0.5% oxygen	2.32225329942	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P049362	6385	no	BM MSC hypoxia 0.5% oxygen	1.96995122209	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P049362	6385	no	BM MSC hypoxia 0.5% oxygen	3.88071664752	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P049362	6385	no	BM MSC normoxia 20% oxygen	3.4052249907	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P049362	6385	no	BM MSC normoxia 20% oxygen	2.26432548734	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P049362	6385	no	BM MSC normoxia 20% oxygen	1.87048266473	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P051268	6385	no	BM MSC hypoxia 0.5% oxygen	2.22307279475	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P051268	6385	no	BM MSC hypoxia 0.5% oxygen	2.32225329942	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P051268	6385	no	BM MSC hypoxia 0.5% oxygen	1.54391042238	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P051268	6385	no	BM MSC normoxia 20% oxygen	2.25188457795	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P051268	6385	no	BM MSC normoxia 20% oxygen	2.3046959055	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P051268	6385	no	BM MSC normoxia 20% oxygen	2.25188457795	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P048128	6385	no	BM MSC hypoxia 0.5% oxygen	3.25791533777	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P048128	6385	no	BM MSC hypoxia 0.5% oxygen	3.75766505409	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P048128	6385	no	BM MSC hypoxia 0.5% oxygen	4.28833675604	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P048128	6385	no	BM MSC normoxia 20% oxygen	2.83004056934	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P048128	6385	no	BM MSC normoxia 20% oxygen	3.48112952188	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P048128	6385	no	BM MSC normoxia 20% oxygen	3.81556971466	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P048129	6385	no	BM MSC hypoxia 0.5% oxygen	1.76472023728	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P048129	6385	no	BM MSC hypoxia 0.5% oxygen	2.00226511445	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P048129	6385	no	BM MSC hypoxia 0.5% oxygen	2.00226511445	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P048129	6385	no	BM MSC normoxia 20% oxygen	2.34704042667	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P048129	6385	no	BM MSC normoxia 20% oxygen	2.62337147838	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P048129	6385	no	BM MSC normoxia 20% oxygen	2.25188457795	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P048124	6385	no	BM MSC hypoxia 0.5% oxygen	3.57874411322	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P048124	6385	no	BM MSC hypoxia 0.5% oxygen	2.00226511445	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P048124	6385	no	BM MSC hypoxia 0.5% oxygen	1.87692404452	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P048124	6385	no	BM MSC normoxia 20% oxygen	2.25188457795	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P048124	6385	no	BM MSC normoxia 20% oxygen	2.13855859155	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P048124	6385	no	BM MSC normoxia 20% oxygen	3.03149634974	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P048125	6385	no	BM MSC hypoxia 0.5% oxygen	1.62045710217	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P048125	6385	no	BM MSC hypoxia 0.5% oxygen	1.3886163878	hypoxic rep 2	NULL	NULL
