chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
GSM1347854	0.0	A_37_P362114	6385	no	BM MSC hypoxia 0.5% oxygen	7.67344471987	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P362114	6385	no	BM MSC hypoxia 0.5% oxygen	7.7552939356	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P362114	6385	no	BM MSC hypoxia 0.5% oxygen	7.39212441822	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P362114	6385	no	BM MSC normoxia 20% oxygen	6.50214269403	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P362114	6385	no	BM MSC normoxia 20% oxygen	6.63991986104	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P362114	6385	no	BM MSC normoxia 20% oxygen	6.62050126892	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P362115	6385	no	BM MSC hypoxia 0.5% oxygen	4.54902820895	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P362115	6385	no	BM MSC hypoxia 0.5% oxygen	2.89768831676	hypoxic rep 2	NULL	NULL
GSM1347856	0.0	A_37_P362115	6385	no	BM MSC hypoxia 0.5% oxygen	3.938755762	hypoxic rep 3	NULL	NULL
GSM1347857	0.0	A_37_P362115	6385	no	BM MSC normoxia 20% oxygen	2.61826499499	normoxic rep 1	NULL	NULL
GSM1347858	0.0	A_37_P362115	6385	no	BM MSC normoxia 20% oxygen	3.09729826474	normoxic rep 2	NULL	NULL
GSM1347859	0.0	A_37_P362115	6385	no	BM MSC normoxia 20% oxygen	1.6124235646	normoxic rep 3	NULL	NULL
GSM1347854	0.0	A_37_P362118	6385	no	BM MSC hypoxia 0.5% oxygen	5.43943876129	hypoxic rep 1	NULL	NULL
GSM1347855	0.0	A_37_P362118	6385	no	BM MSC hypoxia 0.5% oxygen	7.00349946913	hypoxic rep 2	NULL	NULL
